type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Hummingbird,Yellow quadrangle Hat,Blue eye&blue eyebrows,Green crown,Orange small Mouth,Cyan  tooth profine wing
Hummingbird,Orange black  Hat,White eye&black long eyebrow,Black yellow hair,Black orange long Mouth, Dark violet front shape wing
Zebra Finch,Black rectangle glasses,Light cyan eye&pink eyebrow,Blue broken,Orange small Mouth,Blue  triangle  wing
Petrel,Pink  trapezoid  Hat,Small black eye&black long eyebrow,Orange short hair,Deep Gray triangle Mouth,Blue  triangle  wing
Pigeon,Violet red polygon Hat,Black eye&pink eyebrow,Orange hairdo,Yellow long Mouth,Black trapeziod wing  
Woodpecker,Blue black triangle glasses,White eye&black long eyebrow,Blue punk,Light orange Mouth,Violetv wing
Pelican,Orange yellow Hat,Big black eye&black long eyebrow,Black short hair,Yellow long Mouth,Iridescence wing
Vulture,Orange black polygon Hat,Black eye&rectangle eyebrow,Red airplane,Orange triangle big Mouth,Orange triangle  wing
Pigeon,Orange yellow Hat,Small black eye&orange  eyebrow,Red airplane,Deep Golden triangle Mouth,Gray trapeziod wing 
Blue Bird,Yellow flat Hat,Black eye&Black eyebrow,Orange long hair,Blue black Mouth,Dark blue cyan wing
Magpie,Dark orange necklace,Black eye&long pink eyebrow,Red short hair,Golden Mouth,Black trapeziod wing  
Penguin,Black white square glasses,Black eye&yellow eyebrow,Blue broken,Light orange Mouth,Dark cyan wing 
Blue Bird,Red black quadrangle Hat,Black white eye&long eyebrow,Black long hair,Golden small Mouth,Blue cyan wing
Blue Bird,Orange square glasses,Black eye&yellow eyebrow,Black red hair,Dark blue triangle Mouth,Yellow agree trapeziod wing
Turkey,Yellow quadrangle Hat,Black red eye&A round eyebrow,Red yellow crown,Shallow black triangle Mouth,Yellow tooth profine wing
Hornbill,Blue trapezoid  Hat,Black red eye&A round eyebrow,Red yellow crown,Blue triangle  Mouth,Orange trapeziod wing 
Hummingbird,Green Hat,Light cyan eye&pink eyebrow,Red punk,Deep Gray triangle Mouth,Dark blue  wing 
Swallow,Orange yellow round Hat,White eye&black long eyebrow,Red hairdo,Orange square Mouth,Colours trapeziod wing 
Vulture,Pink triangle Hat,Cyan eye&dark red eyebrow,Pink middle parting,Orange square Mouth,Orange triangle  wing
Chick,Dark black round Hat,Pink black eye&long eyebrow,Black short hair,Black yellow Mouth,Blue  triangle  wing
Crow,Deep blue polygon Hat,Cambridge blue eye&black long eyebrow,Black red hair,Black pink Mouth,Colours sector wing
Oriole,Blue triangle Hat,Orange eye& eyCambridge blue eyebrow,Green crown,Golden small Mouth,Khaki front shape wing
Hornbill,Dark blue  square glasses,Red eye&black eyebrow,Cyan Curly,Gray big Mouth,Blue trapeziod wing 
Duck,Brow hat,Light cyan eye&pink eyebrow,Red Curly,Dark blue triangle Mouth,Violet front shape wing
Pelican,Blue square glasses,Cambridge blue eye&black long eyebrow,Yellow braid,Deep Blue triangle Mouth,Cyan yellow sector wing
Oriole,Black white Hat,Light cyan eye&pink eyebrow,Red airplane,Shallow black triangle Mouth,Agree sector wing
Pigeon,Violet red polygon Hat,Big black eye&orange eyebrow,Red punk,Blue black Mouth,Iridescence wing
Hummingbird,Deep gray  round Hat,Orange eye& eyCambridge blue eyebrow,Plae yellow braid,Orange quadrangle Mouth,White black rhomboid wing
Pelican,Black white square glasses,Cambridge blue eye&black long eyebrow,Blue Curly,Shallow black triangle Mouth,Red front shape wing 
Pelican,Red flat Hat,Black eye&round black eyebrow,Green braid,Black yellow Mouth,Yellow agree trapeziod wing
Bullfinch,Dark blue necklace,Cambridge blue eye&black long eyebrow,Light cyan shorthair,Deep Orange square Mouth,Pink  violet sector wing
Swan,Dark blue round Hat,Cyan eye&dark red eyebrow,Red Curly,Light blue short Mouth,Black rhomboid wing
Zebra Finch,Orange yellow round Hat,Black eye&long pink eyebrow,Plae yellow braid,Golden triangle Mouth, Dark violet front shape wing
Pelican,Orange yellow Hat,Small black eye&red long eyebrow,Red short hair,Golden quadrangle  Mouth,Red trapeziod wing 
Ostrich,Orange black round Hat,Black eye&jet black eyebrow,Orange middle parting,Deep Blue triangle Mouth,Pink wing 
Hornbill,Blue square glasses,Black eye&deep orange eyebrow,Red punk,Orange quadrangle Mouth,Colours front shape wing
Oriole,Black necklace,Black eye&pink eyebrow,Golden airplane,Light yellow short Mouth,Blue front shape wing 
Ostrich,Orange black round Hat,Black eye&round black eyebrow,Blue long hair,Blue black Mouth,Agree sector wing
Cuckoo,Black cyan Hat,Black eye&long black eyebrow,Blue long hair,Orange quadrangle Mouth,Gray rhomboid wing
Pelican,Blue square glasses,Small black eye&orange round eyebrow,Blue hairdo,Deep orange triangle  Mouth,Colours trapeziod wing 
Seagull,Dark blue round Hat,Small black eye&red long eyebrow,Black yellow hair,Pale red Mouth,Violet front shape wing
Magpie,Deep blue Hat,Small black eye&black long eyebrow,Plae yellow braid,Orange polygon  Mouth,Red sector wing
Cuckoo,Red black pentagon glasses,Red eye&black eyebrow,Orange middle parting,Orange polygon  Mouth,Grey violet sector wing
Penguin,Black flat Hat,Red eye&black eyebrow,Blue hairdo,Golden small Mouth,White gray wing
Swallow,Dark blue rectangle glasses,Black eye&jet black eyebrow,Black red hair,Blue small Mouth,Gray rhomboid wing
Bullfinch,Blue black round glasses,Cambridge blue eye&black long eyebrow,Pink Curly,Black orange long Mouth,Pink wing 
Aurora,Black pink Hat,Big black eye&long eyebrow,Yellow braid,Orange polygon  Mouth,Pink  violet sector wing
Swan,Deep blue mesh cap,Black eye&rectangle eyebrow,Orange middle parting,Golden square Mouth,Agree wing
Woodpecker,Rainbow trapezoid  Hat,black orange eye&long eyebrow,Pink long hair,Black orange black Mouth,Dark red wing 
Turkey,Deep blue trapezoid Hat,Small black eye&long eyebrow,Green braid,Blue Naroon,Cyan yellow sector wing
Hummingbird,Rainbow round Hat,Cyan black eye&long eyebrow,Golden airplane,Blue triangle  Mouth,White black rhomboid wing
Pelican,Orange yellow Hat,Small black eye&red long eyebrow,Pink Curly,Black red long Mouth,Blue  triangle  wing
Swallow,Light cyan necklace,Light cyan eye&pink eyebrow,Orange hairdo,Gray triangle Mouth,Agree sector wing
Seagull,Dark blue round Hat,Black eye&round eyebrow,Pink Curly,Gray Mouth,Blue front shape wing 
Bullfinch,Orange black square Hat,Black eye&orange long eyebrow,Light cyan shorthair,Red short Mouth,White gray wing
Hummingbird,Black Hat,Small black eye&orange  eyebrow,Plae yellow braid,Orange square Mouth,Cyan yellow sector wing
Crow,Deep blue polygon Hat,Black cyan eye&long eyebrow,Yellow Curly,Depp red triangle Mouth,Colours wing 
Vulture,Orange black polygon Hat,Black eye&long eyebrow,Black red hair,Pale gold Palegreen,Light cyan front shape wing
Ostrich,Black triangle glasses,Black eye&long eyebrow,Black middle parting,Gray big Mouth,Dark Colours wing
Duck,White square glasses,Black eye&orange long eyebrow,Plae yellow braid,Black orange long Mouth,Black trapeziod wing  
Oriole,Yellow Hat,Black eye&jet black eyebrow,Above color crown,Golden square Mouth,Red front shape wing 
Chick,Dark black round Hat,Black cyan eye&long eyebrow,Blue punk,Blue triangle  Mouth,Yellow trapeziod wing 
Swallow,Pink necklace,Black eye&long eyebrow,Pink long hair,Black pink Mouth,Orange rhomboid wing
Swan,Violet black  Hat,Blue eye&blue eyebrows,Green crown,Pale red Mouth,Colours tooth profine wing
Woodpecker,Orange black  Hat,Big black eye&orange eyebrow,Orange short hair,Golden triangle Mouth,Dark cyan wing 
Vulture,Orange yellow round Hat,Black eye&long pink eyebrow,Red hairdo,Black yellow long Mouth,Orange yellow wing
Pelican,Black white square glasses,Black cyan eye&long eyebrow,Pink Curly,Pale gold Palegreen,White gray wing
Pigeon,Gray black Hat,Small black eye&orange round eyebrow,Yellow Curly,Depp red triangle Mouth,Blue rhomboid wing
Magpie,Orange yellow round glasses,Black white eye&long eyebrow,Green braid,Gray Mouth,Red trapeziod wing 
Turkey,Yellow quadrangle Hat,Black purple eye&long eyebrow,Orange long hair,Golden triangle Mouth,Blue rhomboid wing
Chick,Somber triangle glasses,Big black eye&black long eyebrow,Black broken,Blue Naroon,Yellow tooth profine wing
Swan,Violet black  Hat,Black eye&orange eyebrow,Red punk,Red short Mouth,Iridescence wing
Pelican,Black pink Hat,Black eye&round eyebrow,Orange middle parting,Orange quadrangle Mouth,White sector wing
Seagull,Dark blue round Hat,Black eye&orange long eyebrow,Red airplane,Orange square Mouth,Dark blue  wing 
Swallow,Light cyan necklace,Black eye&long eyebrow,Pink broken,Pale red Mouth,Pink  violet sector wing
Oriole,Red black triangle glasses,White eye&Black eyebrow,Black short hair,Pale yellow triangle  Mouth,Agree trapeziod wing  
Vulture,Black orange necklace,Black purple eye&long eyebrow,Pink middle parting,Golden Mouth,Red wing
Crow,Brow hat,Light cyan eye&pink eyebrow,Pink long hair,Black orange black Mouth,Agree sector wing
Woodpecker,Orange square glasses,Light cyan eye&orange eyebrow,Pink Curly,Golden triangle small Mouth,Violet front shape wing
Penguin,Orange headset,Black red eye&A round eyebrow,Orange middle parting,Orange polygon  Mouth,Colours front shape wing
Pigeon,Orange black square Hat,Black eye&rectangle eyebrow,Above color crown,Orange short Mouth,Black rhomboid wing
Woodpecker,Rainbow trapezoid  Hat,White eye&Black eyebrow,Golden airplane,Light orange Mouth,Red trapeziod wing 
Pelican,Green Hat,Light cyan eye&pink eyebrow,Orange hairdo,Black yellow long Mouth,Red sector wing
Swan,Black cyan Hat,Blue black eye&long eyebrow,Golden airplane,Black triangle small Mouth, Dark violet front shape wing
Woodpecker,Black brow hat,Cyan black eye&long eyebrow,Above color crown,Light yellow short Mouth,Dark black wing 
Vulture,Black gray trapezoid  Hat,Orange eye& eyCambridge blue eyebrow,Yellow Curly,Gray triangle Mouth,Red rhomboid wing
Cuckoo,Black pink Hat,Black eye&long black eyebrow,Cyan short hair,Black orange black Mouth,Light cyan front shape wing
Pigeon,Dark blue rectangle glasses,White eye&black long eyebrow,Black middle parting,Deep Golden triangle Mouth,Violet front shape wing
Vulture,Black triangle glasses,Black eye&round black eyebrow,Black middle parting,Orange Mouth,Violet front shape wing
Bullfinch,Blue black round glasses,Black eye&rectangle eyebrow,Black short hair,Orange triangle Mouth,Red trapeziod wing 
Vulture,Black gray trapezoid  Hat,Jet black eye&long eyebrow,Orange hairdo,Gray big Mouth,Red rhomboid wing
Cuckoo,Blue trapezoid  Hat,Cyan eye&dark red eyebrow,Red airplane,Dark blue triangle Mouth,Orange triangle  wing
Woodpecker,Orange black  Hat,Cyan black eye&long eyebrow,Black long hair,Red short Mouth,Iridescence wing
Crow,Dark blue rectangle glasses,Small black eye&long eyebrow,Cyan punk,Black yellow Mouth,Dark Colours wing
Seagull,Blue Hat,Light cyan  eye&orange long eyebrow,Cyan Curly,Golden Mouth,Agree trapeziod wing  
Swan,Deep blue mesh cap,White eye&black long eyebrow,Black red hair,Orange polygon  Mouth,Grey violet sector wing
Magpie,Dark orange necklace,Big black eye&black long eyebrow,Blue long hair,Golden polygon Mouth,Red trapeziod wing 
Chick,Orange black white round Hat,Black eye&round eyebrow,Red hairdo,Pale yellow triangle  Mouth,Colours trapeziod wing 
Bullfinch,Dark blue necklace,Cyan eye&dark red eyebrow,Blue short hair,Golden quadrangle  Mouth,Red front shape wing 
Ostrich,Black triangle glasses,Cyan eye&dark red eyebrow,Blue hairdo,Gray Mouth,Red front shape wing 
Woodpecker,Black triangle glasses,Small black eye&red long eyebrow,Red punk,Gray big Mouth,Pink wing 
Blue Bird,Red black quadrangle Hat,Black white eye&long eyebrow,Blue short hair,Orange Mouth,White sector wing
Frigate Bird,Orange square glasses,Cyan black eye&long eyebrow,Black yellow hair,Light yellow short Mouth,Cyan  tooth profine wing
Bullfinch,Red black triangle glasses,Black eye&yellow eyebrow,Black short hair,Black orange small Mouth,Red sector wing
Frigate Bird,Orange black  Hat,Small black eye&red long eyebrow,Black middle parting,Light orange Mouth,Agree rhomboid wing
Turkey,Blue trapezoid  Hat,Light cyan eye&pink eyebrow,Orange long hair,Gray triangle Mouth,Dark black wing 
Magpie,Violet black  Hat,Black eye&round eyebrow,Deep red Curly,Golden big Mouth,Dark Colours wing
Duck,Orange black square Hat,Small black eye&red long eyebrow,Green braid,Pale yellow triangle  Mouth,Yellow tooth profine wing
Hummingbird,Green Hat,Light cyan eye&pink eyebrow,Pink middle parting,Orange triangle small Mouth,Orange trapeziod wing 
Ostrich,Orange yellow round glasses,Cyan black eye&long eyebrow,Pink Curly,Golden big Mouth,Yellow agree trapeziod wing
Duck,Pink square glasses,Black eye&long black eyebrow,Red airplane,Golden square Mouth,Yellow agree front shape wing 
Swallow,Black Hat,Black eye&orange long eyebrow,Pink Curly,Orange Mouth,Agree sector wing
Cuckoo,Blue trapezoid  Hat,Black eye&round eyebrow,Pink long hair,Black triangle small Mouth,Yellow trapeziod wing 
Cuckoo,Black brow hat,Black whiteeye&round eyebrow,Orange hairdo,Dark blue triangle Mouth,Violet tooth profine wing
Chick,Black rectangle glasses,Black eye&long black eyebrow,Blue punk,Orange triangle small Mouth,Colours front shape wing
Cuckoo,Blue black pentagon glasses,Cambridge blue eye&black long eyebrow,Light cyan shorthair,Orange square Mouth,Dark red wing 
Aurora,Orange yellow round Hat,Black eye&round black eyebrow,Red Curly,Light blue short Mouth,Red sector wing
Crow,Blue black round glasses,Orange eye& eyCambridge blue eyebrow,Red punk,Deep orange triangle  Mouth,Dark red wing 
Seagull,Deep blue mesh cap,Big black eye&orange eyebrow,Black short hair,Black triangle small Mouth,Blue trapeziod wing 
Magpie,Dark blue headset,Orange eye& eyCambridge blue eyebrow,Plae yellow braid,Gray big Mouth,Orange triangle  wing
Cuckoo,Black cyan Hat,Pink black eye&long eyebrow,Blue Curly,Shallow black triangle Mouth,Violet tooth profine wing
Ostrich,Black rectangle glasses,Light cyan eye&pink eyebrow,Pink broken,Deep Blue triangle Mouth,Dark Colours wing
Crow,Green Hat,Black eye&orange eyebrow,Cyan short hair,Orange square Mouth,Colours trapeziod wing 
Zebra Finch,Yellow quadrangle Hat,Cyan eye&dark red eyebrow,Red punk,Black pink Mouth,Red sector wing
Swallow,Yellow quadrangle Hat,Orange eye& eyCambridge blue eyebrow,Light cyan shorthair,Pale yellow triangle  Mouth,Orange triangle  wing
Swan,Violet black  Hat,Black red eye&A round eyebrow,Blue Curly,Black yellow Mouth,Yellow trapeziod wing 
Oriole,Black brow hat,Light cyan eye&pink eyebrow,Red Curly,Golden square Mouth,Yellow trapeziod wing 
Zebra Finch,Yellow quadrangle Hat,Small black eye&orange round eyebrow,Black yellow hair,Dark blue triangle Mouth,Violetv wing
Chick,Violet square glasses,Big black eye&long eyebrow,Black short hair,Depp red triangle Mouth,White sector wing
Cuckoo,Black pink Hat,Pink black eye&long eyebrow,Red Curly,Deep orange triangle  Mouth,Pink  violet sector wing
Magpie,Dark orange necklace,Black eye&round eyebrow,Blue hairdo,Orange triangle small Mouth, Dark violet front shape wing
Frigate Bird,Black brow hat,Black eye&pink eyebrow,Green crown,Golden big Mouth,Dark red wing 
Swan,Dark blue round Hat,Cyan eye&dark red eyebrow,Light cyan shorthair,Black red long Mouth,Blue rhomboid wing
Seagull,Dark blue round Hat,Black eye&pink eyebrow,Red hairdo,Black orange long Mouth,Agree rhomboid wing
Pigeon,Violet red polygon Hat,Big black eye&orange eyebrow,Black short hair,Golden small Mouth,Orange rhomboid wing
Cuckoo,Black pink Hat,Pink black eye&long eyebrow,Pink short hair,Black bluw long Mouth,Colours trapeziod wing 
Cuckoo,Deep blue polygon Hat,Pink black eye&long eyebrow,Golden airplane,Golden quadrangle  Mouth,Colours sector wing
Magpie,Deep blue Hat,Black eye&long black eyebrow,Orange long hair,Golden Mouth,Yellow trapeziod wing 
Hummingbird,orange perked cap,Light cyan  eye&orange long eyebrow,Blue Curly,Orange quadrangle Mouth,Agree sector wing
Pelican,Red flat Hat,Light cyan eye&orange eyebrow,Black broken,Get black triangle Mouth,Pink wing 
Swallow,Orange yellow round Hat,Black eye&round eyebrow,Cyan Curly,Orange short Mouth,Violet rhomboid wing
Pelican,orange perked cap,Black eye&Black eyebrow,Blue broken,Deep Golden triangle Mouth,Dark black wing 
Duck,Orange black square Hat,Black cyan eye&long eyebrow,Yellow Curly,Deep Blue triangle Mouth,Blue cyan wing
Turkey,Blue trapezoid  Hat,Black eye&orange eyebrow,Red short hair,Pale red Mouth,Dark Colours wing
Zebra Finch,Deep blue mesh cap,Small black eye&black long eyebrow,Pink long hair,Gray Mouth,White black rhomboid wing
Zebra Finch,Orange yellow round Hat,Black eye&pink eyebrow,Pink Curly,Light orange short Mouth,Yellow agree trapeziod wing
Duck,Brow hat,Black eye&long black eyebrow,Red short hair,Black yellow Mouth,Khaki front shape wing
Hummingbird,Yellow quadrangle Hat,Black white eye&long eyebrow,Golden airplane,Red triangle small Mouth,Iridescence wing
